Metric,Enhanced-GCN,Enhanced-GIN
ROC-AUC,0.6234,0.6456
Accuracy,0.6104,0.6289
Precision,0.5987,0.6142
Recall,0.5876,0.6031
F1-Score,0.5931,0.6085
